yil,oy,kun,H,X,T,Q
2020,1,1,211,,2.5,12
2020,2,2,211,,2.6,11.7
2020,3,3,211,17.1,-2.6,11.6
2020,4,4,210,0.3,-5.1,11.1
2020,5,5,210,0.4,-5,10.9
2020,6,6,210,,-5.4,10.7
2020,7,7,209,,-8.3,10.5
2020,8,8,209,,-7.2,10.4
2020,9,9,210,,-4.2,10.4
2020,10,10,209,,-1,10.2
2020,11,11,209,,0,10.1
2020,12,12,210,8.6,-3.6,10.1
2020,13,13,210,2.5,-5.2,9.99
2020,14,14,210,,-4.5,9.85
2020,15,15,209,,-1.7,9.77
2020,16,16,210,,-1.9,9.69
2020,17,17,209,,-2.4,9.61
2020,18,18,210,,-3.6,9.47
2020,19,19,210,,-4.4,9.33
2020,20,20,210,,-1.9,9.25
2020,21,21,209,5.9,-1.4,9.31
2020,22,22,210,4.1,-1.1,9.42
2020,23,23,211,20.8,-3.6,9.6
2020,24,24,211,1.6,-7.6,9.54
2020,25,25,210,,-7,9.53
2020,26,26,209,,-1.7,9.53
2020,27,27,209,1.5,-0.2,9.65
2020,28,28,210,8.6,-1.3,9.7
2020,29,29,210,3.4,1,9.94
2020,30,30,211,9,-0.5,10
2020,31,31,210,6.1,-5.3,9.97
2020,1,32,210,,-2.9,9.95
2020,2,33,211,3.1,-1.9,9.86
2020,3,34,210,21.7,-4.4,9.59
2020,4,35,209,5.6,-11.8,9.45
2020,5,36,209,,-10.8,9.3
2020,6,37,210,,-5.5,9.35
2020,7,38,210,,-1.4,9.4
2020,8,39,210,0.4,-1.3,9.46
2020,9,40,210,0.2,-0.6,9.51
2020,10,41,209,2,0.8,9.9
2020,11,42,209,20.1,-4,10.2
2020,12,43,209,5.9,-4.7,10.4
2020,13,44,210,6.7,-1.4,10.5
2020,14,45,211,20,1.5,10.7
2020,15,46,212,9.8,1,11.4
2020,16,47,214,2,3.1,11.5
2020,17,48,216,26.7,1.8,12.5
2020,18,49,220,27.3,-1,13.3
2020,19,50,214,11.9,-9.5,12.5
2020,20,51,213,,-7.8,12.1
2020,21,52,213,,-3.9,12
2020,22,53,213,,-1.3,11.8
2020,23,54,212,,-0.5,11.7
2020,24,55,211,,2,11.7
2020,25,56,212,6.6,-0.3,11.7
2020,26,57,211,,-0.9,11.7
2020,27,58,211,,2.6,11.7
2020,28,59,211,,3.1,11.8
2020,1,60,211,2,0.8,12.2
