"date","Kokjerdi","Koykerim","common_level","month","day_index","type"
2020-01-01,346,191,191,1,1,"Low"
2020-01-02,356,188,188,1,2,"Low"
2020-01-03,357,190,190,1,3,"Low"
2020-01-21,370,218,218,1,21,"Peak"
2020-01-22,370,220,220,1,22,"Peak"
2020-01-23,366,216,216,1,23,"Peak"
2020-02-09,356,199,199,2,40,"Low"
2020-02-12,354,198,198,2,43,"Low"
2020-02-15,356,198,198,2,46,"Low"
2020-02-18,356,212,212,2,49,"Peak"
2020-02-19,356,210,210,2,50,"Peak"
2020-02-20,358,209,209,2,51,"Peak"
2020-03-01,354,202,202,3,61,"Low"
2020-03-03,352,202,202,3,63,"Low"
2020-03-07,352,200,200,3,67,"Low"
2020-03-24,356,226,226,3,84,"Peak"
2020-03-28,356,228,228,3,88,"Peak"
2020-03-29,356,228,228,3,89,"Peak"
2020-04-08,351,212,212,4,99,"Low"
2020-04-09,350,212,212,4,100,"Low"
2020-04-15,354,211,211,4,106,"Low"
2020-04-28,473,376,376,4,119,"Peak"
2020-04-29,494,366,366,4,120,"Peak"
2020-04-30,466,386,386,4,121,"Peak"
2020-05-01,441,329,329,5,122,"Peak"
2020-05-14,382,238,238,5,135,"Low"
2020-05-15,382,234,234,5,136,"Low"
2020-05-16,383,236,236,5,137,"Low"
2020-05-30,470,328,328,5,151,"Peak"
2020-05-31,458,334,334,5,152,"Peak"
2020-06-03,503,368,368,6,155,"Peak"
2020-06-04,462,374,374,6,156,"Peak"
2020-06-09,475,354,354,6,161,"Peak"
2020-06-18,416,269,269,6,170,"Low"
2020-06-19,421,262,262,6,171,"Low"
2020-06-20,438,273,273,6,172,"Low"
2020-07-03,428,276,276,7,185,"Low"
2020-07-19,433,280,280,7,201,"Low"
2020-07-20,445,280,280,7,202,"Low"
2020-07-23,489,330,330,7,205,"Peak"
2020-07-24,491,347,347,7,206,"Peak"
2020-07-25,473,338,338,7,207,"Peak"
2020-08-04,484,322,322,8,217,"Peak"
2020-08-05,477,329,329,8,218,"Peak"
2020-08-16,481,322,322,8,229,"Peak"
2020-08-29,413,244,244,8,242,"Low"
2020-08-30,412,244,244,8,243,"Low"
2020-08-31,410,242,242,8,244,"Low"
2020-09-01,408,240,240,9,245,"Peak"
2020-09-02,407,238,238,9,246,"Peak"
2020-09-15,409,238,238,9,259,"Peak"
2020-09-25,391,223,223,9,269,"Low"
2020-09-26,390,222,222,9,270,"Low"
2020-09-30,388,221,221,9,274,"Low"
2020-10-01,387,219,219,10,275,"Peak"
2020-10-02,386,218,218,10,276,"Peak"
2020-10-08,385,219,219,10,282,"Peak"
2020-10-28,374,204,204,10,302,"Low"
2020-10-29,373,204,204,10,303,"Low"
2020-10-30,373,204,204,10,304,"Low"
2020-11-05,373,208,208,11,310,"Peak"
2020-11-06,373,208,208,11,311,"Peak"
2020-11-07,372,206,206,11,312,"Peak"
2020-11-27,360,193,193,11,332,"Low"
2020-11-28,362,188,188,11,333,"Low"
2020-11-30,364,192,192,11,335,"Low"
2020-12-18,376,196,196,12,353,"Peak"
2020-12-19,374,197,197,12,354,"Peak"
2020-12-21,376,197,197,12,356,"Peak"
2020-12-28,373,184,184,12,363,"Low"
2020-12-29,371,184,184,12,364,"Low"
2020-12-30,371,184,184,12,365,"Low"
