n,year,month,day,H
1,2020,1,1,346
2,2020,1,2,356
3,2020,1,3,357
4,2020,1,4,358
5,2020,1,5,356
6,2020,1,6,358
7,2020,1,7,361
8,2020,1,8,364
9,2020,1,9,364
10,2020,1,10,365
11,2020,1,11,359
12,2020,1,12,365
13,2020,1,13,367
14,2020,1,14,368
15,2020,1,15,368
16,2020,1,16,370
17,2020,1,17,370
18,2020,1,18,371
19,2020,1,19,371
20,2020,1,20,374
21,2020,1,21,370
22,2020,1,22,370
23,2020,1,23,366
24,2020,1,24,366
25,2020,1,25,362
26,2020,1,26,356
27,2020,1,27,358
28,2020,1,28,359
29,2020,1,29,358
30,2020,1,30,357
31,2020,1,31,358
32,2020,2,1,352
33,2020,2,2,360
34,2020,2,3,358
35,2020,2,4,360
36,2020,2,5,358
37,2020,2,6,360
38,2020,2,7,356
39,2020,2,8,357
40,2020,2,9,356
41,2020,2,10,354
42,2020,2,11,358
43,2020,2,12,354
44,2020,2,13,354
45,2020,2,14,354
46,2020,2,15,356
47,2020,2,16,358
48,2020,2,17,356
49,2020,2,18,356
50,2020,2,19,356
51,2020,2,20,358
52,2020,2,21,350
53,2020,2,22,349
54,2020,2,23,350
55,2020,2,24,350
56,2020,2,25,351
57,2020,2,26,352
58,2020,2,27,352
59,2020,2,28,353
60,2020,3,1,354
61,2020,3,2,352
62,2020,3,3,352
63,2020,3,4,352
64,2020,3,5,351
65,2020,3,6,351
66,2020,3,7,352
67,2020,3,8,352
68,2020,3,9,354
69,2020,3,10,354
70,2020,3,11,354
71,2020,3,12,355
72,2020,3,13,354
73,2020,3,14,353
74,2020,3,15,353
75,2020,3,16,353
76,2020,3,17,352
77,2020,3,18,352
78,2020,3,19,354
79,2020,3,20,351
80,2020,3,21,352
81,2020,3,22,354
82,2020,3,23,354
83,2020,3,24,356
84,2020,3,25,356
85,2020,3,26,358
86,2020,3,27,357
87,2020,3,28,356
88,2020,3,29,356
89,2020,3,30,359
90,2020,3,31,358
91,2020,4,1,358
92,2020,4,2,355
93,2020,4,3,355
94,2020,4,4,354
95,2020,4,5,354
96,2020,4,6,353
97,2020,4,7,352
98,2020,4,8,351
99,2020,4,9,350
100,2020,4,10,352
101,2020,4,11,352
102,2020,4,12,354
103,2020,4,13,354
104,2020,4,14,352
105,2020,4,15,354
106,2020,4,16,354
107,2020,4,17,360
108,2020,4,18,364
109,2020,4,19,370
110,2020,4,20,374
111,2020,4,21,382
112,2020,4,22,398
113,2020,4,23,419
114,2020,4,24,435
115,2020,4,25,455
116,2020,4,26,475
117,2020,4,27,486
118,2020,4,28,473
119,2020,4,29,494
120,2020,4,30,466
121,2020,5,1,441
122,2020,5,2,440
123,2020,5,3,425
124,2020,5,4,410
125,2020,5,5,402
126,2020,5,6,397
127,2020,5,7,395
128,2020,5,8,399
129,2020,5,9,406
130,2020,5,10,402
131,2020,5,11,398
132,2020,5,12,391
133,2020,5,13,384
134,2020,5,14,382
135,2020,5,15,382
136,2020,5,16,383
137,2020,5,17,393
138,2020,5,18,398
139,2020,5,19,396
140,2020,5,20,396
141,2020,5,21,404
142,2020,5,22,405
143,2020,5,23,417
144,2020,5,24,422
145,2020,5,25,427
146,2020,5,26,426
147,2020,5,27,439
148,2020,5,28,456
149,2020,5,29,461
150,2020,5,30,470
151,2020,5,31,458
152,2020,6,1,478
153,2020,6,2,493
154,2020,6,3,503
155,2020,6,4,462
156,2020,6,5,438
157,2020,6,6,448
158,2020,6,7,466
159,2020,6,8,481
160,2020,6,9,475
161,2020,6,10,471
162,2020,6,11,470
163,2020,6,12,461
164,2020,6,13,462
165,2020,6,14,459
166,2020,6,15,431
167,2020,6,16,431
168,2020,6,17,424
169,2020,6,18,416
170,2020,6,19,421
171,2020,6,20,438
172,2020,6,21,455
173,2020,6,22,469
174,2020,6,23,477
175,2020,6,24,472
176,2020,6,25,456
177,2020,6,26,457
178,2020,6,27,453
179,2020,6,28,446
180,2020,6,29,447
181,2020,6,30,441
182,2020,7,1,435
183,2020,7,2,427
184,2020,7,3,428
185,2020,7,4,439
186,2020,7,5,453
187,2020,7,6,449
188,2020,7,7,454
189,2020,7,8,456
190,2020,7,9,444
191,2020,7,10,440
192,2020,7,11,443
193,2020,7,12,444
194,2020,7,13,444
195,2020,7,14,446
196,2020,7,15,450
197,2020,7,16,444
198,2020,7,17,437
199,2020,7,18,433
200,2020,7,19,433
201,2020,7,20,445
202,2020,7,21,462
203,2020,7,22,476
204,2020,7,23,489
205,2020,7,24,491
206,2020,7,25,473
207,2020,7,26,462
208,2020,7,27,463
209,2020,7,28,457
210,2020,7,29,456
211,2020,7,30,467
212,2020,7,31,464
213,2020,8,1,460
214,2020,8,2,468
215,2020,8,3,479
216,2020,8,4,484
217,2020,8,5,477
218,2020,8,6,462
219,2020,8,7,460
220,2020,8,8,464
221,2020,8,9,469
222,2020,8,10,472
223,2020,8,11,472
224,2020,8,12,467
225,2020,8,13,464
226,2020,8,14,471
227,2020,8,15,480
228,2020,8,16,481
229,2020,8,17,467
230,2020,8,18,452
231,2020,8,19,443
232,2020,8,20,440
233,2020,8,21,441
234,2020,8,22,442
235,2020,8,23,441
236,2020,8,24,435
237,2020,8,25,430
238,2020,8,26,425
239,2020,8,27,418
240,2020,8,28,414
241,2020,8,29,413
242,2020,8,30,412
243,2020,8,31,410
244,2020,9,1,408
245,2020,9,2,407
246,2020,9,3,404
247,2020,9,4,400
248,2020,9,5,399
249,2020,9,6,397
250,2020,9,7,397
251,2020,9,8,397
252,2020,9,9,399
253,2020,9,10,404
254,2020,9,11,405
255,2020,9,12,404
256,2020,9,13,406
257,2020,9,14,409
258,2020,9,15,409
259,2020,9,16,406
260,2020,9,17,400
261,2020,9,18,397
262,2020,9,19,397
263,2020,9,20,395
264,2020,9,21,393
265,2020,9,22,394
266,2020,9,23,392
267,2020,9,24,392
268,2020,9,25,391
269,2020,9,26,390
270,2020,9,27,394
271,2020,9,28,392
272,2020,9,29,389
273,2020,9,30,388
274,2020,10,1,387
275,2020,10,2,386
276,2020,10,3,385
277,2020,10,4,384
278,2020,10,5,383
279,2020,10,6,383
280,2020,10,7,384
281,2020,10,8,385
282,2020,10,9,384
283,2020,10,10,382
284,2020,10,11,380
285,2020,10,12,379
286,2020,10,13,379
287,2020,10,14,379
288,2020,10,15,379
289,2020,10,16,380
290,2020,10,17,379
291,2020,10,18,378
292,2020,10,19,378
293,2020,10,20,376
294,2020,10,21,376
295,2020,10,22,376
296,2020,10,23,376
297,2020,10,24,376
298,2020,10,25,375
299,2020,10,26,374
300,2020,10,27,374
301,2020,10,28,374
302,2020,10,29,373
303,2020,10,30,373
304,2020,10,31,373
305,2020,11,1,373
306,2020,11,2,373
307,2020,11,3,373
308,2020,11,4,373
309,2020,11,5,373
310,2020,11,6,373
311,2020,11,7,372
312,2020,11,8,372
313,2020,11,9,372
314,2020,11,10,372
315,2020,11,11,373
316,2020,11,12,372
317,2020,11,13,366
318,2020,11,14,368
319,2020,11,15,367
320,2020,11,16,368
321,2020,11,17,366
322,2020,11,18,368
323,2020,11,19,366
324,2020,11,20,369
325,2020,11,21,370
326,2020,11,22,363
327,2020,11,23,359
328,2020,11,24,360
329,2020,11,25,360
330,2020,11,26,360
331,2020,11,27,360
332,2020,11,28,362
333,2020,11,29,363
334,2020,11,30,364
335,2020,12,1,362
336,2020,12,2,362
337,2020,12,3,360
338,2020,12,4,362
339,2020,12,5,362
340,2020,12,6,374
341,2020,12,7,370
342,2020,12,8,372
343,2020,12,9,374
344,2020,12,10,375
345,2020,12,11,375
346,2020,12,12,373
347,2020,12,13,375
348,2020,12,14,375
349,2020,12,15,372
350,2020,12,16,375
351,2020,12,17,376
352,2020,12,18,376
353,2020,12,19,374
354,2020,12,20,376
355,2020,12,21,376
356,2020,12,22,374
357,2020,12,23,376
358,2020,12,24,373
359,2020,12,25,375
360,2020,12,26,370
361,2020,12,27,370
362,2020,12,28,373
363,2020,12,29,371
364,2020,12,30,371
365,2020,12,31,370
