n,year,month,day,H
1,2020,1,1,191
2,2020,1,2,188
3,2020,1,3,190
4,2020,1,4,192
5,2020,1,5,192
6,2020,1,6,193
7,2020,1,7,196
8,2020,1,8,199
9,2020,1,9,198
10,2020,1,10,200
11,2020,1,11,201
12,2020,1,12,202
13,2020,1,13,200
14,2020,1,14,198
15,2020,1,15,200
16,2020,1,16,202
17,2020,1,17,208
18,2020,1,18,208
19,2020,1,19,215
20,2020,1,20,215
21,2020,1,21,218
22,2020,1,22,220
23,2020,1,23,216
24,2020,1,24,216
25,2020,1,25,214
26,2020,1,26,215
27,2020,1,27,215
28,2020,1,28,212
29,2020,1,29,210
30,2020,1,30,209
31,2020,1,31,206
32,2020,2,1,204
33,2020,2,2,204
34,2020,2,3,204
35,2020,2,4,206
36,2020,2,5,208
37,2020,2,6,206
38,2020,2,7,202
39,2020,2,8,200
40,2020,2,9,199
41,2020,2,10,200
42,2020,2,11,204
43,2020,2,12,198
44,2020,2,13,201
45,2020,2,14,199
46,2020,2,15,198
47,2020,2,16,204
48,2020,2,17,207
49,2020,2,18,212
50,2020,2,19,210
51,2020,2,20,209
52,2020,2,21,204
53,2020,2,22,204
54,2020,2,23,204
55,2020,2,24,207
56,2020,2,25,206
57,2020,2,26,206
58,2020,2,27,204
59,2020,2,28,207
60,2020,3,1,202
61,2020,3,2,203
62,2020,3,3,202
63,2020,3,4,202
64,2020,3,5,203
65,2020,3,6,204
66,2020,3,7,200
67,2020,3,8,206
68,2020,3,9,206
69,2020,3,10,206
70,2020,3,11,206
71,2020,3,12,208
72,2020,3,13,207
73,2020,3,14,208
74,2020,3,15,210
75,2020,3,16,212
76,2020,3,17,213
77,2020,3,18,216
78,2020,3,19,218
79,2020,3,20,220
80,2020,3,21,222
81,2020,3,22,224
82,2020,3,23,225
83,2020,3,24,226
84,2020,3,25,224
85,2020,3,26,225
86,2020,3,27,226
87,2020,3,28,228
88,2020,3,29,228
89,2020,3,30,222
90,2020,3,31,221
91,2020,4,1,226
92,2020,4,2,222
93,2020,4,3,218
94,2020,4,4,216
95,2020,4,5,214
96,2020,4,6,214
97,2020,4,7,214
98,2020,4,8,212
99,2020,4,9,212
100,2020,4,10,212
101,2020,4,11,213
102,2020,4,12,214
103,2020,4,13,214
104,2020,4,14,213
105,2020,4,15,211
106,2020,4,16,212
107,2020,4,17,215
108,2020,4,18,221
109,2020,4,19,223
110,2020,4,20,224
111,2020,4,21,232
112,2020,4,22,236
113,2020,4,23,224
114,2020,4,24,267
115,2020,4,25,310
116,2020,4,26,340
117,2020,4,27,362
118,2020,4,28,376
119,2020,4,29,366
120,2020,4,30,386
121,2020,5,1,329
122,2020,5,2,299
123,2020,5,3,302
124,2020,5,4,268
125,2020,5,5,268
126,2020,5,6,260
127,2020,5,7,254
128,2020,5,8,254
129,2020,5,9,258
130,2020,5,10,265
131,2020,5,11,256
132,2020,5,12,249
133,2020,5,13,240
134,2020,5,14,238
135,2020,5,15,234
136,2020,5,16,236
137,2020,5,17,243
138,2020,5,18,248
139,2020,5,19,247
140,2020,5,20,246
141,2020,5,21,248
142,2020,5,22,252
143,2020,5,23,254
144,2020,5,24,264
145,2020,5,25,266
146,2020,5,26,272
